d_host_is_superhost,n_host_listings_count,n_host_total_listings_count,d_host_has_profile_pic,d_host_identity_verified,f_neighbourhood_cleansed,n_latitude,n_longitude,f_property_type,n_accommodates,n_bedrooms,n_beds,price,n_minimum_nights,n_maximum_nights,n_minimum_minimum_nights,n_maximum_minimum_nights,n_minimum_maximum_nights,n_maximum_maximum_nights,n_minimum_nights_avg_ntm,n_maximum_nights_avg_ntm,d_has_availability,n_availability_30,n_availability_60,n_availability_90,n_availability_365,n_number_of_reviews,n_number_of_reviews_ltm,n_number_of_reviews_l30d,n_review_scores_rating,n_review_scores_accuracy,n_review_scores_cleanliness,n_review_scores_checkin,n_review_scores_communication,n_review_scores_location,n_review_scores_value,d_instant_bookable,n_calculated_host_listings_count,n_calculated_host_listings_count_entire_homes,n_calculated_host_listings_count_private_rooms,n_calculated_host_listings_count_shared_rooms,n_reviews_per_month,n_p_host_response_rate,n_p_host_acceptance_rate,n_bathrooms,n_dt_host_since_to_today,n_dt_first_review_to_today,n_dt_last_review_to_today,d_tv,d_ac,d_backyard,d_baking_sheet,d_bathtub,d_bbq,d_board_games,d_brekkie,d_coffee,d_ceiling_fan,d_clothing_storage,d_dedicated_workspace,d_dishwasher,d_dryer,d_drying_rack,d_eco,d_wifi,d_fire_guard,d_first_aid,d_fitness,d_heating,d_high_chair,d_organic,d_hot_tub,d_spa,d_fireplace,d_iron,d_bluetooth,d_nespresso,d_kitchen_aid,d_rice_maker,d_mosquito_net,d_laundromat,d_security_camera,d_free_parking,d_long_term,d_pool,d_pets_allowed,d_beachfront,d_lake_access,d_kayak,d_piano,d_pingpong,d_outdoor_dining_area,d_outdoor_furniture,d_outdoor_pool,d_outdoor_shower,d_game_console,d_nintendo,d_ps,d_alexa,d_amazon_prime,d_apple,d_bang_and_olufsen,d_beats,d_bosch,d_boombox,d_bose,d_chromecast,d_google,d_jbl,d_jvc,d_netlix,d_pioneer,d_aroma_zone,d_attitude,d_aveda,d_bella_pella,d_costco,d_dove,d_dumarchand,d_garnier,d_head_and_shoulders,d_ivory,d_kiehls,d_kirkland,d_loreal,d_lemieux,d_melaleuca,d_nivea,d_olay,d_ordinaire,d_organix,d_pantene,d_plusieurs,d_baby_bath,d_baby_monitor,d_baby_safety_gates,d_babysitter_rec,d_crib,d_children,d_danby,d_divers,d_electrolux,d_fisher_and_paykel,d_frigidaire,d_galanz,d_induction,d_inglis,d_kenmore,d_lg,d_miele,d_samsung,d_hv_facebook,d_hv_google,d_hv_government_id,d_hv_jumio,d_hv_manual,d_hv_kba,d_hv_phone,d_hv_reviews,d_hv_selfie,d_hv_sent_id,d_hv_sesame,d_hv_email,d_missing_n_review_scores_rating,d_missing_n_review_scores_accuracy,d_missing_n_review_scores_cleanliness,d_missing_n_review_scores_checkin,d_missing_n_review_scores_communication,d_missing_n_review_scores_location,d_missing_n_review_scores_value,d_missing_n_reviews_per_month,d_missing_n_p_host_response_rate,d_missing_n_p_host_acceptance_rate,d_missing_n_dt_first_review_to_today,d_missing_n_dt_last_review_to_today,n_squared_number_of_reviews,n_cubic_number_of_reviews,n_ln_host_since_to_today
0,2,2,1,1,Ville-Marie,45.51939,-73.56482,Entire rental unit,4,1,2,152,2,60,2,2,1125,1125,2,1125,1,14,38,68,323,344,14,5,4.7,4.82,4.7,4.81,4.79,4.8,4.73,0,2,2,0,0,2.46,0,0,1,4288,4251,66,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,118336,40707584,8.36380888451688
0,2,2,1,1,Ville-Marie,45.51929,-73.56493,Entire residential home,4,2,2,242,3,21,3,3,21,21,3,21,1,0,19,49,283,85,16,1,4.62,4.82,4.6,4.81,4.73,4.85,4.66,0,2,2,0,0,0.71,0,0,1,4288,3638,67,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,7225,614125,8.36380888451688
0,1,1,1,1,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire rental unit,5,2,3,160,4,1125,4,4,1125,1125,4,1125,1,3,27,57,208,6,2,1,4.8,4.8,5,5,5,4.4,4.8,0,1,1,0,0,0.04,0,0,1,4249,4104,71,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,36,216,8.354674261918463
1,7,7,1,1,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire rental unit,2,1,2,130,31,730,31,31,730,730,31,730,1,0,0,0,176,42,3,0,4.88,4.9,4.83,4.9,4.9,4.86,4.76,0,7,7,0,0,0.53,0,0,1,4019,2451,161,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1764,74088,8.299037181613066
1,1,1,1,1,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire rental unit,4,1,2,85,3,31,3,3,1125,1125,3,1125,1,5,19,33,33,157,29,3,4.93,4.93,4.91,4.96,4.97,4.78,4.92,1,1,1,0,0,1.15,0,0,1,4168,4145,72,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,24649,3869893,8.335431477880796
0,56,56,1,1,Ville-Marie,45.50584,-73.55602,Entire loft,4,1,1,110,5,90,3,5,1125,1125,4.9,1125,1,10,32,32,32,287,23,2,4.65,4.77,4.71,4.72,4.56,4.87,4.71,0,6,6,0,0,2.15,0,0,1,4075,4061,78,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,82369,23639903,8.312871394342615
1,7,7,1,1,Le Plateau-Mont-Royal,45.52891,-73.58219,Entire rental unit,2,1,2,110,31,365,31,31,365,365,31,365,1,1,1,1,225,83,5,0,4.79,4.7,4.83,4.94,4.88,4.88,4.61,0,7,7,0,0,0.64,0,0,1,4019,3949,177,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6889,571787,8.299037181613066
0,1,1,1,1,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46607,-73.62549,Entire residential home,6,3,3,185,9,730,9,9,730,730,9,730,1,0,0,0,0,9,0,0,4.67,4.67,4.44,4.89,4.78,4.56,4.89,0,1,1,0,0,0.1,0,0,2,4013,2899,1636,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,81,729,8.297543529356284
1,7,7,1,1,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire rental unit,3,1,2,120,31,730,31,31,730,730,31,730,1,2,32,62,337,27,4,1,5,5,4.96,5,4.93,5,4.78,0,7,7,0,0,0.21,0,0,1,4019,3899,74,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,729,19683,8.299037181613066
1,4,4,1,1,Villeray-Saint-Michel-Parc-Extension,45.53933,-73.61902,Entire rental unit,3,1,2,99,90,1125,90,90,1125,1125,90,1125,1,0,0,0,101,61,0,0,4.83,4.87,4.83,4.82,4.85,4.75,4.72,0,5,5,0,0,0.48,0,0,1,3948,3879,1257,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3721,226981,8.28121766128665
